ip,app,device,os,channel,hour,day,target
102264,2,1,17,477,20,6,0
188387,9,2,10,244,19,6,0
36183,2,1,23,205,21,6,0
5761,3,1,37,137,19,6,0
148788,17,1,8,280,17,6,0
102919,8,1,16,145,16,6,0
41261,18,1,43,107,20,6,0
169619,9,1,17,134,23,6,0
35502,18,1,18,121,16,6,0
42333,12,1,11,328,16,6,0
17873,12,1,13,178,23,6,0
108942,6,1,19,459,16,6,0
84499,18,1,13,121,21,6,0
137441,15,1,16,140,16,6,0
207961,1,1,26,134,19,6,0
34738,14,1,19,442,0,7,0
3511,3,1,13,173,16,6,0
55729,2,1,17,469,22,6,0
81776,18,1,19,121,20,6,0
105456,2,1,6,205,16,6,0
81863,12,1,8,259,18,6,0
99494,8,1,13,145,19,6,0
169053,21,1,11,128,21,6,0
153696,18,3032,607,107,16,6,0
156045,24,1,23,105,20,6,0
125928,9,1,13,258,23,6,0
92261,12,1,25,328,23,6,0
14901,8,1,17,259,16,6,0
155962,12,1,17,178,22,6,0
206602,2,1,37,477,17,6,0
2786,1,1,28,134,16,6,0
100266,9,1,19,134,23,6,0
13368,11,1,19,319,22,6,0
116098,2,1,19,122,22,6,0
99044,64,1,19,459,16,6,0
110744,9,1,13,134,22,6,0
118624,9,1,13,334,23,6,0
89946,15,1,34,245,16,6,0
2076,18,1,35,121,16,6,0
180565,1,1,19,134,16,6,0
44377,13,1,19,477,18,6,0
23411,2,1,19,469,22,6,0
3964,3,1,19,480,0,7,0
32642,3,1,13,280,16,6,0
21095,1,1,19,134,0,7,0
144179,23,1,23,153,16,6,0
79831,3,1,13,280,17,6,0
19234,8,1,19,145,16,6,0
69449,2,1,19,477,16,6,0
162759,9,1,53,450,23,6,0
47459,9,1,13,134,17,6,0
92735,6,1,13,459,18,6,0
95766,10,1,13,377,18,6,0
119760,1,1,9,178,20,6,0
90891,12,1,19,326,16,6,0
193539,14,1,13,442,16,6,0
53960,2,1,19,205,21,6,0
198405,1,1,18,178,16,6,0
9557,1,1,19,118,23,6,0
95473,21,1,10,128,23,6,0
1831,18,1,37,121,20,6,0
125527,9,1,22,334,0,7,0
212134,12,1,13,409,23,6,0
19439,12,1,19,178,0,7,0
178873,9,1,13,134,16,6,0
133,18,1,19,121,16,6,0
181057,15,1,13,140,16,6,0
30378,24,1,16,178,20,6,0
44458,3,2,19,137,23,6,0
46648,9,1,58,334,22,6,0
33629,10,1,13,113,23,6,0
869,43,1,17,330,23,6,0
73043,33,3032,607,347,19,6,0
115487,3,1,13,130,17,6,0
18666,15,1,13,140,20,6,0
92348,2,1,18,364,17,6,0
135425,14,1,13,401,20,6,0
110637,11,1,20,481,16,6,0
81501,12,1,13,265,21,6,0
187999,23,1,96,153,23,6,0
194308,2,1,19,469,18,6,0
109644,2,1,19,219,22,6,0
123681,15,1,28,265,18,6,0
97716,12,1,19,245,18,6,0
81792,12,1,30,205,0,7,0
98298,3,1,19,452,23,6,0
57965,8,1,27,145,23,6,0
3325,8,1,18,145,17,6,0
53954,24,1,19,105,16,6,0
122357,3,1,17,280,16,6,0
119698,15,1,13,315,0,7,0
110811,23,1,19,153,23,6,0
51719,15,1,13,245,16,6,0
44067,1,1,53,115,23,6,0
152832,18,1,12,107,23,6,0
159690,14,1,27,379,23,6,0
60083,12,1,8,265,21,6,0
109723,9,1,14,442,17,6,0
138403,15,1,19,379,22,6,0
79332,9,1,9,134,16,6,0
18053,12,1,19,178,23,6,0
116574,14,1,53,489,16,6,0
48108,15,1,19,245,18,6,0
22235,25,1,3,259,16,6,0
50251,1,1,19,134,16,6,0
7304,2,1,41,377,23,6,0
139362,14,1,15,463,22,6,0
10392,14,1,17,349,20,6,0
25553,2,1,19,205,23,6,0
65988,8,1,25,140,23,6,0
109832,23,1,18,153,16,6,0
56063,9,1,19,232,23,6,0
17988,12,1,13,178,17,6,0
4052,2,1,6,219,22,6,0
180644,14,1,8,379,0,7,0
139127,2,1,48,469,16,6,0
2284,15,1,13,265,23,6,0
18101,12,1,13,178,23,6,0
104991,3,1,13,489,17,6,0
17549,9,1,19,134,17,6,0
50223,8,1,35,145,22,6,0
18286,2,1,19,477,17,6,0
97028,27,1,15,153,23,6,0
33704,18,1,19,107,17,6,0
36150,2,2,6,205,18,6,0
26849,18,1,13,439,23,6,0
13784,12,1,18,245,20,6,0
119804,21,1,36,128,19,6,0
61763,28,1,19,135,16,6,0
73516,3,1,19,153,17,6,0
131323,1,1,30,150,23,6,0
88546,12,1,25,328,16,6,0
193448,15,1,19,245,19,6,0
43044,14,1,19,123,20,6,0
53454,24,2,13,105,17,6,0
164188,26,1,19,266,23,6,0
42536,15,1,15,265,23,6,0
73487,12,1,23,259,16,6,0
59997,2,1,8,469,20,6,0
114220,15,1,28,315,21,6,0
104403,12,1,13,140,17,6,0
42289,14,1,13,123,21,6,0
165300,1,1,8,377,23,6,0
37458,8,1,19,145,23,6,0
100929,15,1,6,480,21,6,0
133363,2,1,19,236,16,6,0
73487,12,1,13,326,16,6,0
125222,15,1,44,245,16,6,0
133522,25,1,14,259,23,6,0
120745,18,1,22,107,23,6,0
170995,9,1,12,442,0,7,0
86840,1,1,19,178,23,6,0
100275,11,1,13,173,19,6,0
26735,25,1,15,259,18,6,0
102805,3,1,19,452,23,6,0
125796,12,1,17,245,21,6,0
133522,20,1,19,259,22,6,0
198573,12,1,13,245,16,6,0
126,9,1,22,134,21,6,0
51020,12,1,9,178,16,6,0
5740,9,1,2,134,23,6,0
53526,12,1,13,265,21,6,0
53526,12,1,8,328,16,6,0
55431,20,1,19,259,19,6,0
37674,14,1,53,379,19,6,0
93573,21,1,20,128,0,7,0
4052,2,1,13,377,16,6,0
44488,2,2,20,205,16,6,0
70828,15,1,13,140,0,7,0
2982,3,1,8,424,23,6,0
106308,12,1,6,265,16,6,0
106210,2,1,13,477,0,7,0
98207,9,2,19,442,22,6,0
180627,12,1,14,145,16,6,0
118229,9,1,6,334,21,6,0
133491,15,1,14,265,16,6,0
182904,9,1,19,215,0,7,0
198783,12,1,28,265,18,6,0
123861,24,1,20,105,23,6,0
78290,15,1,19,245,17,6,0
80372,9,1,19,134,22,6,0
32453,24,1,13,105,18,6,0
8179,23,1,25,153,23,6,0
66518,3,1,12,115,23,6,0
3239,9,1,8,232,23,6,0
83000,2,1,14,237,16,6,0
4353,12,1,15,265,17,6,0
118563,9,1,17,215,20,6,0
102480,12,1,13,242,23,6,0
48204,9,1,15,234,16,6,0
113818,15,1,13,245,17,6,0
15517,8,1,13,145,17,6,0
29016,9,1,13,134,23,6,0
73516,9,1,22,258,0,7,0
96696,9,1,12,134,16,6,0
169100,2,1,27,477,17,6,0
77703,3,1,17,205,23,6,0
202511,18,1,13,121,23,6,0
40631,10,1,19,113,16,6,0
185108,20,1,13,259,23,6,0
76745,18,1,18,134,17,6,0
98635,14,1,57,224,23,6,0
200543,3,1,6,135,17,6,0
119377,1,1,53,349,23,6,0
79082,15,1,11,245,21,6,0
20482,2,1,22,236,23,6,0
33534,12,1,41,245,23,6,0
181585,23,1,20,153,16,6,0
180729,9,1,18,134,16,6,0
75264,3,1,15,280,0,7,0
32392,2,1,19,219,16,6,0
109176,15,1,30,3,19,6,0
106279,3,1,25,280,16,6,0
195174,23,1,16,153,23,6,0
44527,12,1,17,326,23,6,0
58637,18,1,13,121,23,6,0
32038,19,0,21,343,17,6,0
126371,14,1,19,463,19,6,0
26995,29,1,17,343,19,6,0
42289,3,1,13,205,18,6,0
120069,12,1,19,259,23,6,0
158938,12,1,13,245,23,6,0
50296,9,1,10,134,20,6,0
123722,9,1,13,215,23,6,0
47171,12,1,30,245,16,6,0
11178,14,1,13,134,0,7,0
80882,2,1,53,212,22,6,0
115445,9,1,13,134,23,6,0
118393,8,1,8,145,16,6,0
201903,2,1,20,258,16,6,0
169321,15,2,13,245,17,6,0
148182,8,1,17,145,16,6,0
182272,14,1,19,379,23,6,0
182402,2,2,19,219,22,6,0
137958,3,1,9,19,23,6,0
149687,2,1,19,477,16,6,0
23644,18,1,20,121,18,6,0
77730,21,1,19,128,23,6,0
65302,1,1,19,125,18,6,0
92730,8,1,13,145,16,6,0
99150,17,1,10,280,23,6,0
74780,27,1,13,122,23,6,0
93021,3,1,20,135,22,6,0
88,15,1,13,245,17,6,0
41463,12,1,10,245,18,6,0
94132,15,1,18,245,20,6,0
102552,1,1,18,377,23,6,0
201182,9,1,18,215,23,6,0
49633,9,1,23,134,23,6,0
119818,18,1,13,134,22,6,0
21069,18,1,19,107,23,6,0
30510,8,1,8,259,20,6,0
86926,64,1,13,459,23,6,0
190591,9,1,19,334,23,6,0
125108,9,1,17,232,16,6,0
100042,15,1,10,245,18,6,0
26792,15,1,19,265,23,6,0
104305,9,1,13,215,17,6,0
58637,18,1,13,121,22,6,0
37813,27,1,41,122,23,6,0
145563,9,1,23,134,23,6,0
101941,9,2,17,215,18,6,0
123788,18,1,19,107,23,6,0
153621,24,1,19,105,16,6,0
62109,2,1,19,212,22,6,0
51590,15,1,35,315,21,6,0
95199,14,1,19,489,21,6,0
121145,15,1,13,386,0,7,0
113739,2,1,19,122,22,6,0
106308,3,1,1,371,0,7,0
50009,3,1,13,19,23,6,0
85601,9,1,19,442,0,7,0
13229,12,1,13,178,23,6,0
6581,26,1,16,121,21,6,0
72459,12,1,13,328,18,6,0
49025,3,1,13,280,16,6,0
199066,9,1,22,134,16,6,0
15898,3,1,6,115,19,6,0
60215,12,1,19,245,16,6,0
132564,1,1,13,134,23,6,0
29678,26,1,13,266,23,6,0
13597,12,1,8,245,17,6,0
47168,3,1,19,135,23,6,0
59081,15,1,22,245,16,6,0
137056,3,1,19,135,21,6,0
66131,18,1,17,107,16,6,0
102035,3,1,13,115,23,6,0
142783,2,1,26,258,18,6,0
98423,14,1,27,439,22,6,0
8166,60,1,28,21,17,6,0
68216,11,1,19,325,23,6,0
108052,14,1,13,123,18,6,0
100182,12,1,8,259,16,6,0
118597,2,1,15,237,16,6,0
13936,18,1,19,121,18,6,0
39007,14,1,23,463,23,6,0
9611,9,1,13,134,0,7,0
4019,14,1,10,401,20,6,0
120662,3,1,19,379,0,7,0
27526,12,1,19,481,23,6,0
1285,12,1,19,205,16,6,0
92616,3,1,36,466,0,7,0
121025,15,1,13,315,23,6,0
133012,11,1,13,469,22,6,0
123647,9,1,13,466,0,7,0
148501,8,1,19,145,22,6,0
53874,2,1,13,212,22,6,0
177504,14,1,19,379,23,6,0
95520,1,1,34,153,20,6,0
41540,3,1,17,115,23,6,0
79901,2,1,19,377,18,6,0
70496,21,1,1,128,16,6,0
46568,18,1,19,134,22,6,0
73487,15,1,19,245,23,6,0
102193,18,1,13,121,22,6,0
62129,9,1,35,244,22,6,0
92852,9,2,13,232,16,6,0
52669,9,1,27,134,22,6,0
3576,9,1,27,445,23,6,0
48459,12,1,19,19,23,6,0
170234,23,1,19,153,16,6,0
41308,15,1,25,315,22,6,0
43763,2,1,8,401,23,6,0
63624,9,1,8,442,21,6,0
11050,12,1,19,328,21,6,0
192027,9,1,22,234,0,7,0
103377,9,1,20,244,23,6,0
13647,8,1,19,145,16,6,0
36407,18,1,1,121,18,6,0
48170,3,1,4,19,17,6,0
139445,2,1,20,258,22,6,0
18666,14,1,19,442,22,6,0
114235,18,1,66,107,22,6,0
38609,14,1,19,349,16,6,0
73366,11,1,13,319,23,6,0
6222,18,1,15,107,23,6,0
210641,18,1,63,107,16,6,0
106537,3,1,22,130,17,6,0
89232,3,1,19,452,23,6,0
18350,21,1,19,128,22,6,0
13596,18,1,8,121,16,6,0
203499,21,1,19,128,22,6,0
4052,8,1,13,145,19,6,0
51571,15,1,17,245,23,6,0
78787,14,1,18,467,19,6,0
111621,12,1,27,245,23,6,0
959,3,1,1,409,22,6,0
6689,13,1,53,477,22,6,0
5621,3,1,19,205,19,6,0
59076,2,1,16,435,17,6,0
42478,20,1,3,259,16,6,0
79332,26,1,19,121,22,6,0
70747,15,1,17,245,17,6,0
25152,12,1,13,140,19,6,0
115543,2,1,13,469,17,6,0
133109,12,1,19,178,17,6,0
51612,27,1,13,153,16,6,0
25679,18,1,13,107,16,6,0
114761,12,1,19,178,22,6,0
53910,13,1,19,477,20,6,0
70132,18,1,8,134,19,6,0
114089,18,1,3,439,21,6,0
114220,15,1,19,140,16,6,0
108771,12,1,13,212,16,6,0
47176,20,1,19,259,16,6,0
18403,2,1,20,477,17,6,0
80532,9,1,10,134,23,6,0
73487,12,1,17,259,23,6,0
5125,15,1,27,245,20,6,0
148912,2,1,41,452,23,6,0
20242,15,1,13,315,17,6,0
145450,14,1,1,379,21,6,0
98496,3,1,27,280,17,6,0
8859,14,1,15,480,16,6,0
20090,8,1,13,145,21,6,0
29974,21,1,13,128,19,6,0
33929,12,1,19,124,17,6,0
103261,15,1,19,245,16,6,0
60136,3,2,2,402,18,6,0
123907,12,1,13,497,20,6,0
11991,3,1,19,379,23,6,0
86320,14,1,25,489,0,7,0
100275,3,1,6,424,17,6,0
100562,2,1,16,477,17,6,0
58585,9,1,19,334,23,6,0
38187,15,1,13,430,22,6,0
89299,18,1,19,121,0,7,0
70522,9,2,13,442,23,6,0
43435,18,1,17,107,16,6,0
92804,12,1,6,140,18,6,0
13104,18,1,28,121,18,6,0
203983,3,1,13,19,23,6,0
68651,18,1,13,439,16,6,0
148208,8,1,41,145,17,6,0
143872,20,1,22,259,17,6,0
202740,1,1,13,377,16,6,0
100393,3,1,9,280,16,6,0
94164,9,1,13,466,18,6,0
91661,2,1,11,205,20,6,0
133522,18,1,19,439,22,6,0
2332,18,1,35,121,21,6,0
76355,9,1,13,334,0,7,0
88743,25,1,22,259,17,6,0
123759,12,1,19,178,17,6,0
52094,3,1,8,402,16,6,0
115902,3,1,19,280,0,7,0
122593,11,1,22,469,16,6,0
100275,15,1,10,3,21,6,0
135142,1,1,15,135,23,6,0
28565,36,1,18,110,16,6,0
69785,12,1,10,140,23,6,0
200233,23,1,19,153,23,6,0
14320,23,1,13,153,16,6,0
161193,9,1,17,215,0,7,0
71427,9,1,13,134,22,6,0
126701,12,1,19,265,22,6,0
86947,3,1,13,130,23,6,0
208793,3,1,42,442,21,6,0
170404,3,1,37,173,23,6,0
28091,5,1,22,377,23,6,0
33796,8,2,49,259,22,6,0
40317,21,1,20,128,23,6,0
114653,26,1,18,266,16,6,0
102118,12,1,4,245,16,6,0
70615,18,3032,607,107,19,6,0
46894,6,1,20,125,23,6,0
54706,14,1,1,489,16,6,0
181611,9,2,3,215,22,6,0
50374,64,1,19,459,17,6,0
201997,9,1,19,134,21,6,0
184437,8,1,13,145,16,6,0
105485,2,1,19,205,16,6,0
202693,15,1,19,130,17,6,0
26995,10,1,11,377,23,6,0
55876,2,2,8,364,17,6,0
37919,3,1,13,409,19,6,0
40631,9,1,19,334,20,6,0
23203,2,1,13,477,17,6,0
137625,9,1,19,134,21,6,0
13121,14,1,10,463,23,6,0
112755,110,3032,607,347,23,6,0
108872,12,1,13,178,0,7,0
114235,3,1,25,480,16,6,0
124608,2,1,13,122,23,6,0
78801,93,1,19,371,23,6,0
173226,2,1,19,469,23,6,0
40228,12,1,13,259,22,6,0
268,15,1,28,245,23,6,0
85107,14,1,19,489,20,6,0
111025,22,1,25,116,22,6,0
8929,9,1,6,215,16,6,0
4328,14,1,25,439,0,7,0
80058,3,1,13,452,21,6,0
125608,23,1,13,153,23,6,0
28986,15,1,25,245,17,6,0
372,10,1,4,377,16,6,0
109266,24,2,5,105,16,6,0
91799,1,2,9,178,23,6,0
139435,20,1,13,259,22,6,0
124135,8,1,37,145,16,6,0
10314,18,1,17,134,0,7,0
95473,14,1,22,349,19,6,0
120638,2,1,12,477,17,6,0
105128,12,2,20,140,23,6,0
81876,24,2,12,105,17,6,0
66898,15,1,41,430,22,6,0
5402,17,1,13,280,16,6,0
180506,15,1,19,245,17,6,0
98565,2,1,22,377,20,6,0
32523,12,1,22,145,19,6,0
5314,15,1,16,140,23,6,0
202954,3,1,18,480,22,6,0
53697,1,1,18,153,17,6,0
91490,14,1,19,379,23,6,0
2574,29,1,28,210,21,6,0
36370,1,1,13,134,16,6,0
2671,15,1,9,130,20,6,0
18636,18,1,19,121,23,6,0
125125,3,1,17,424,23,6,0
40077,107,1,25,171,16,6,0
37801,28,1,13,135,16,6,0
141384,6,1,18,125,23,6,0
157862,14,1,19,439,0,7,0
91767,9,1,3,334,23,6,0
22978,23,1,17,153,23,6,0
29945,3,1,1,489,0,7,0
123635,9,1,3,215,16,6,0
89347,2,1,18,435,0,7,0
27820,3,1,18,115,17,6,0
52024,3,1,19,135,17,6,0
181531,12,1,8,265,18,6,0
125286,13,1,13,477,22,6,0
35414,18,1,6,121,22,6,0
14615,21,1,19,128,23,6,0
67313,1,1,13,134,17,6,0
59064,15,1,13,245,17,6,0
108881,18,1,19,439,16,6,0
2647,21,2,58,128,23,6,0
78708,18,3032,607,107,23,6,0
105475,12,1,19,265,18,6,0
117399,19,0,21,213,19,6,0
172352,8,1,8,145,16,6,0
199655,3,1,13,480,23,6,0
73470,15,1,14,245,20,6,0
26583,18,1,26,121,17,6,0
18474,15,1,8,245,18,6,0
147164,15,1,19,430,16,6,0
138769,18,1,19,121,16,6,0
33393,64,1,26,459,17,6,0
49462,2,1,17,477,17,6,0
25792,2,1,13,205,18,6,0
79827,2,1,15,477,23,6,0
205421,8,1,18,145,16,6,0
35983,8,1,3,145,22,6,0
92728,160,1,9,457,0,7,0
120709,27,1,48,153,20,6,0
116607,12,1,46,259,23,6,0
13597,2,1,17,219,0,7,0
25071,3,1,19,417,22,6,0
33838,2,1,10,452,17,6,0
37183,9,1,13,442,22,6,0
15927,14,1,19,134,22,6,0
202956,29,1,17,213,23,6,0
89219,15,1,19,140,22,6,0
141923,3,1,17,442,23,6,0
79857,2,1,17,477,19,6,0
191863,9,1,13,466,21,6,0
95766,15,1,19,245,17,6,0
61430,8,1,12,145,16,6,0
45745,6,1,47,125,23,6,0
129153,2,1,25,477,18,6,0
63093,1,1,31,134,23,6,0
167423,8,2,25,259,20,6,0
109735,14,1,53,123,16,6,0
191341,3,1,17,466,20,6,0
51495,12,1,19,205,0,7,0
58542,3,1,13,379,16,6,0
67682,12,1,19,140,17,6,0
79909,15,1,23,245,17,6,0
55410,3,1,27,409,23,6,0
28668,24,1,37,105,16,6,0
50407,3,1,13,205,18,6,0
37752,5,1,19,377,23,6,0
97903,18,1,19,121,18,6,0
9704,2,1,13,477,16,6,0
70578,26,1,19,266,0,7,0
105811,18,1,13,121,23,6,0
6871,12,1,13,265,18,6,0
109723,3,1,19,417,22,6,0
56085,3,1,18,480,23,6,0
34731,11,1,27,319,18,6,0
128269,15,1,14,386,16,6,0
69158,1,1,4,134,22,6,0
48004,2,2,3,237,18,6,0
106241,9,1,13,134,23,6,0
39107,3,1,9,442,0,7,0
112074,3,1,25,417,22,6,0
32560,21,1,8,128,17,6,0
154380,3,1,13,466,22,6,0
222,12,1,9,265,18,6,0
24876,20,2,10,259,22,6,0
62025,9,1,10,215,23,6,0
187229,12,1,19,178,17,6,0
93762,11,1,16,122,16,6,0
91050,2,1,13,122,19,6,0
59837,64,1,14,459,23,6,0
56245,2,1,13,477,17,6,0
160536,2,1,25,435,22,6,0
45702,3,1,4,211,20,6,0
150872,2,1,19,477,16,6,0
61564,2,1,19,236,23,6,0
116644,9,1,3,442,16,6,0
15769,12,1,19,265,21,6,0
62170,18,1,18,107,0,7,0
98738,18,1,9,107,23,6,0
959,3,1,13,280,0,7,0
40011,28,1,19,135,17,6,0
53454,14,1,13,442,23,6,0
35929,15,1,13,245,16,6,0
197668,15,1,20,245,17,6,0
123872,8,1,15,140,17,6,0
72322,3,1,19,379,21,6,0
109735,13,1,10,469,16,6,0
7949,3,1,18,135,22,6,0
154680,23,1,19,153,0,7,0
5348,9,1,13,215,20,6,0
118563,14,1,8,463,22,6,0
94392,17,1,37,280,16,6,0
30240,9,1,6,234,0,7,0
105560,18,3032,607,107,22,6,0
101619,3,1,22,442,0,7,0
39313,21,1,19,128,19,6,0
203994,14,1,13,401,23,6,0
35826,3,1,19,489,18,6,0
70683,15,2,19,245,17,6,0
188387,12,1,31,265,17,6,0
78452,24,1,22,105,23,6,0
85512,3,1,13,135,23,6,0
103136,18,1,13,107,18,6,0
27849,21,1,6,128,16,6,0
50482,8,2,5,145,23,6,0
42176,12,1,6,140,23,6,0
186396,9,1,15,442,16,6,0
107364,15,1,16,430,21,6,0
85072,12,1,19,145,23,6,0
37515,15,1,41,245,19,6,0
50482,15,1,17,3,23,6,0
92712,12,1,22,178,17,6,0
98424,12,1,17,245,23,6,0
83880,2,2,19,364,16,6,0
43180,1,1,15,178,0,7,0
38385,15,1,13,265,16,6,0
51515,12,1,17,178,21,6,0
19271,9,1,18,232,20,6,0
15540,36,1,19,373,23,6,0
10888,3,1,13,137,22,6,0
64636,12,1,19,245,16,6,0
96249,26,1,8,266,23,6,0
103019,15,1,9,245,23,6,0
112775,3,1,13,137,18,6,0
160999,183,3032,607,347,23,6,0
49097,18,1,37,121,21,6,0
172522,1,1,13,178,17,6,0
88702,18,1,19,121,16,6,0
101863,15,1,9,379,21,6,0
44663,1,1,19,178,19,6,0
187624,1,1,31,134,23,6,0
171125,1,1,22,134,23,6,0
73163,24,1,19,105,0,7,0
26463,12,1,19,178,23,6,0
92970,9,1,13,334,20,6,0
114276,2,1,18,469,16,6,0
67439,8,1,19,145,16,6,0
27371,26,1,16,121,16,6,0
99944,8,1,19,145,16,6,0
31071,15,1,28,265,23,6,0
26919,3,1,44,452,23,6,0
105416,2,1,18,237,17,6,0
80142,9,1,8,466,16,6,0
187243,12,1,19,140,20,6,0
46880,1,1,3,134,23,6,0
95766,15,1,10,245,16,6,0
17262,2,1,8,452,23,6,0
44361,18,1,13,121,22,6,0
90593,27,1,19,153,18,6,0
114461,2,1,16,452,16,6,0
191479,15,1,19,386,20,6,0
100840,14,1,18,480,0,7,0
147203,23,1,22,153,16,6,0
16074,15,1,13,386,0,7,0
41399,13,1,27,477,23,6,0
151424,12,1,19,265,16,6,0
38163,9,1,20,442,0,7,0
59395,24,1,53,105,16,6,0
97463,2,1,19,212,23,6,0
129614,160,1,19,457,22,6,0
68988,8,1,3,145,23,6,0
136616,18,1,19,121,23,6,0
85964,14,1,37,349,21,6,0
36213,15,1,19,245,21,6,0
69743,12,1,19,178,22,6,0
6692,12,1,19,409,0,7,0
5596,3,1,25,480,23,6,0
49858,12,1,10,265,22,6,0
70691,2,1,17,452,16,6,0
95766,23,1,25,153,21,6,0
47118,2,1,25,477,16,6,0
50411,2,1,10,469,18,6,0
150445,1,1,13,452,18,6,0
67779,12,1,13,326,16,6,0
67281,18,1,6,121,21,6,0
104679,20,1,19,259,23,6,0
144046,6,1,19,459,23,6,0
188496,14,1,8,463,16,6,0
55030,1,1,13,439,23,6,0
120047,9,1,13,134,16,6,0
107869,13,1,22,477,19,6,0
105534,28,1,19,135,23,6,0
121216,15,1,23,140,16,6,0
20720,12,1,13,178,22,6,0
30483,12,1,8,245,23,6,0
91734,2,2,34,205,23,6,0
167733,15,1,30,140,16,6,0
187422,9,1,6,442,16,6,0
70504,28,1,22,135,16,6,0
65590,2,1,22,377,0,7,0
191863,18,1,10,121,19,6,0
